region_number,region_name,geo_order,local_authority_name,local_authority_type,constituency_number,constituency_name,official_source_name,name_normalized,source,source_url
1,Barima-Waini,1.01,PORT KAITUMA MATTHEWS RIDGE/ARAKAKA,NDC,1,CANAL BANK - CITRUS GROVE,CANAL BANK-CITRUS GROVE,True,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D01/1.01-PORT%20KAITUMA%20MATTHEWS%20RIDGE:ARAKAKA.pdf
1,Barima-Waini,1.01,PORT KAITUMA MATTHEWS RIDGE/ARAKAKA,NDC,2,COMPOUND - ORONOQUE - MCDOOM,COMPOUND-ORONOQUE-MC DOOM,True,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D01/1.01-PORT%20KAITUMA%20MATTHEWS%20RIDGE:ARAKAKA.pdf
1,Barima-Waini,1.01,PORT KAITUMA MATTHEWS RIDGE/ARAKAKA,NDC,3,FITZBURG - FOUR MILES,FITZBURG-FOUR MILES,True,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D01/1.01-PORT%20KAITUMA%20MATTHEWS%20RIDGE:ARAKAKA.pdf
1,Barima-Waini,1.01,PORT KAITUMA MATTHEWS RIDGE/ARAKAKA,NDC,4,ARAKAKA,ARAKAKA,False,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D01/1.01-PORT%20KAITUMA%20MATTHEWS%20RIDGE:ARAKAKA.pdf
1,Barima-Waini,1.01,PORT KAITUMA MATTHEWS RIDGE/ARAKAKA,NDC,5,HEAVEN HILL - PAKERA,HEA VEN HILL-PAKERA,True,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D01/1.01-PORT%20KAITUMA%20MATTHEWS%20RIDGE:ARAKAKA.pdf
1,Barima-Waini,1.01,PORT KAITUMA MATTHEWS RIDGE/ARAKAKA,NDC,6,GARRISON HILL - HELL HILL,GARRISON HILL -HELL HILL,True,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D01/1.01-PORT%20KAITUMA%20MATTHEWS%20RIDGE:ARAKAKA.pdf
1,Barima-Waini,1.02,MUNICIPALITY OF MABARUMA,MUNICIPALITY,1,THOMAS HILL - SMITH CREEK,THOMAS HILL-SMITH CREEK,True,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D01/1.02-MUNICIPALITY%20OF%20MABARUMA.pdf
1,Barima-Waini,1.02,MUNICIPALITY OF MABARUMA,MUNICIPALITY,2,MABARUMA SETTLEMENT/BARIMANOBO,MABARUMA SETTLEMENT/BARIMANOBO,False,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D01/1.02-MUNICIPALITY%20OF%20MABARUMA.pdf
1,Barima-Waini,1.02,MUNICIPALITY OF MABARUMA,MUNICIPALITY,3,MABARUMA TOWNSHIP - MABARUMA COMPOUND - BROOMES ESTATE,MABARUMA TOWNSHIP -MABARUMA COMPOUND-BROOMES ESTATE,True,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D01/1.02-MUNICIPALITY%20OF%20MABARUMA.pdf
1,Barima-Waini,1.02,MUNICIPALITY OF MABARUMA,MUNICIPALITY,4,BARABINA - KOBERIMO HILL,BARABINA-KOBERIMO HILL,True,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D01/1.02-MUNICIPALITY%20OF%20MABARUMA.pdf
1,Barima-Waini,1.02,MUNICIPALITY OF MABARUMA,MUNICIPALITY,5,KUMAKA,KUMAKA,False,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D01/1.02-MUNICIPALITY%20OF%20MABARUMA.pdf
1,Barima-Waini,1.02,MUNICIPALITY OF MABARUMA,MUNICIPALITY,6,HOSORORO HILL,HOSORORO HILL,False,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D01/1.02-MUNICIPALITY%20OF%20MABARUMA.pdf
1,Barima-Waini,1.02,MUNICIPALITY OF MABARUMA,MUNICIPALITY,7,WAUNA,WAUNA,False,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D01/1.02-MUNICIPALITY%20OF%20MABARUMA.pdf
2,Pomeroon-Supenaam,2.01,MORUKA/PROVIDENCE,NDC,1,MORUKA - ABERDEEN,MORUKA-ABERDEEN,True,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D02/2.01-MORUKA:PROVIDENCE.pdf
2,Pomeroon-Supenaam,2.01,MORUKA/PROVIDENCE,NDC,2,HEATHFIELD – GRANT ST. VINCENT,HEATHFIELD – GRANT ST. VINCENT,False,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D02/2.01-MORUKA:PROVIDENCE.pdf
2,Pomeroon-Supenaam,2.01,MORUKA/PROVIDENCE,NDC,3,FRIENDSHIP BACKLANDS – PROVIDENCE,FRIENDSHIP BACKLANDS – PROVIDENCE,False,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D02/2.01-MORUKA:PROVIDENCE.pdf
2,Pomeroon-Supenaam,2.02,THE NILE/COZIER,NDC,1,NILE – BELLE VIEW,NILE – BELLE VIEW,False,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D02/2.02-THE%20NILE%20-%20COZIER.pdf
2,Pomeroon-Supenaam,2.02,THE NILE/COZIER,NDC,2,DUBLIN – TENEZE FARM,DUBLIN – TENEZE FARM,False,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D02/2.02-THE%20NILE%20-%20COZIER.pdf
2,Pomeroon-Supenaam,2.02,THE NILE/COZIER,NDC,3,MARIA’S PLEASURE - MARTINDALE,MARIA’S PLEASURE - MARTINDALE,False,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D02/2.02-THE%20NILE%20-%20COZIER.pdf
2,Pomeroon-Supenaam,2.03,CHARITY/URASARA,NDC,1,JACKLOW,JACKLOW,False,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D02/2.03-CHARITY:URASARA.pdf
2,Pomeroon-Supenaam,2.03,CHARITY/URASARA,NDC,2,JACKLOW - SIRIKI - ABRAM’S CREEK,JACKLOW-SIRIKI-ABRAM’S CREEK,True,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D02/2.03-CHARITY:URASARA.pdf
2,Pomeroon-Supenaam,2.03,CHARITY/URASARA,NDC,3,ABRAM’S CREEK –PICKER’S GILL,ABRAM’S CREEK –PICKER’S GILL,False,GECOM Register of Voters for LGE 2023,https://gecom.org.gy/public/assets/docs/lists/2023%20-%20Register%20of%20Voters%20for%20LGE%202023/D02/2.03-CHARITY:URASARA.pdf
