name,feature,location,regional_c,map_reference,dms_latitude,dms_longitude,utm_northing,utm_easting,object_id,latitude,longitude
Mormiswau River,River,"L.b. Rupununi r., l.b. Essequibo r., 99 km or 62 mi. above Yupukari Landing.",912211,65SW,"3° 5' 52"" N","59° 27' 19"" W",342731,227073,1,3.0979000000000023,-59.455499999999994
Moroko Creek,Creek,"L.b. Berbice r., 50 km or 31 mi. above a point opp. Wikki r.",021221,45NE,"5° 17' 56"" N","58° 4' 11"" W",585823,381455,2,5.299099999999979,-58.0698
Morong River,River,"R.b. Ekereku r., r.b. Cuyuni r., l.b. Mazaruni r., l.b. Essequibo r., 26 km or 16 mi. up.",711123,15SW,"6° 37' 27"" N","60° 50' 25"" W",733846,75175,3,6.6242000000000125,-60.8405
Morowta,Settlement,"L.b. Kako r., l.b. Mazaruni r., l.b. Essequibo r., ½ km or ¼  mi. up.",721114,32SE,"5° 43' 48"" N","60° 36' 5"" W",634617,100974,4,5.730100000000001,-60.601499999999994
Mortice,Estate,"L.b. Mahaicony r., 13 km or 8 mi. up and 65 km or 40 ½ mi. from Georgetown.",512221,21SW,"6° 30' 43"" N","57° 48' 19"" W",719894,410938,5,6.512199999999999,-57.805499999999995
Moruiwau River,River,"L.b. Rupununi r., l.b. Essequibo r., 88 km or 55 mi. above Yupukari Landing.",912,65SW,"3° 9' 47"" N","59° 25' 5"" W",349959,231253,6,3.1632999999999893,-59.418099999999995
Moruka River,River,"R.b. Kwatata r., l.b. Rupununi r., l.b. Essequibo r., 12 km or 7 ½ mi. up.",912121,60SW,"3° 37' 56"" N","59° 24' 22"" W",401855,232687,7,3.6323999999999894,-59.4064
Moruka River,River,"Atlantic Coast, 6 ½ km or 4 mi. NW. of Pomeroon r.",21 and 12,7SW,"7° 39' 53"" N","58° 47' 37"" W",847661,302147,8,7.664899999999993,-58.79370000000001
Moses Rapid,Rapid,"Essequibo r., 44 km or 27 ½ mi. above Bartica.",011222,27SE,"6° 2' 12"" N","58° 35' 40"" W",667543,323512,9,6.0369,-58.5946
Mosquito Creek,Creek,"L.b. Canje r., r.b. Berbice r., 31 ½ km or 19 ½ mi. up.",612211,30SW,"6° 5' 49"" N","57° 26' 0"" W",673948,452049,10,6.096999999999997,-57.4334
Mosquito Hall,Estate,"L.b. Mahaica r., at its mouth, 34 ½ km or 21 ½ mi. from Georgetown.",421151,21SW,"6° 42' 12"" N","57° 55' 38"" W",741072,397509,11,6.7035,-57.92730000000001
Motakakuru Creek,Creek,"R.b. Berbice r., 32 ½ km or 20 mi. above Wikki r.",021222,46NW,"5° 22' 1"" N","57° 59' 44"" W",593321,389686,12,5.366999999999992,-57.995599999999996
Mount Everard,Locality,"R.b. Barima r., 69 km or 43 mi. above a point opp. Kaituma r.",112221,6NW,"7° 48' 48"" N","59° 28' 5"" W",864471,227812,13,7.8133999999999935,-59.46809999999999
Mount Sinai,Township,"R.b. Berbice r., being part of New Amsterdam.",6114,29NE,"6° 14' 20"" N","57° 30' 48"" W",689651,443196,14,6.238999999999996,-57.51350000000001
Mount Terminus,Locality,"L.b. Barima r., 69 km or 43 mi. above Kaituma r.",112222,6NW,"7° 50' 30"" N","59° 27' 3"" W",867599,229710,15,7.841800000000001,-59.451100000000004
Mountain Point,Locality,"R.b. Sawariwau r., r.b. Takutu r., 11 km or 7 mi. SE. of Macusi Village.",912221,64SE,"2° 59' 53"" N","59° 38' 30"" W",331749,206316,16,2.998199999999986,-59.6419
Mountain View,Locality,"Watershed bet. the Nappi and Little Nappi rivers, l.b. Pirara r.,  l.b. Ireng r., r.b. Takutu r., 7 ½ km or 4 ½ mi. Southeastwards of Parikaranal.",911211,59SE,"3° 30' 34"" N","59° 33' 8"" W",388318,216421,17,3.5097000000000076,-59.5524
Mowariparu Pond,Pond,"Burroburro r., r.b. Siparuni r., l.b. Essequibo r., 48 km or 30 mi. up.",822211,51SW,"4° 30' 56"" N","58° 47' 52"" W",499391,300507,18,4.515799999999994,-58.797999999999995
Mowariparu Rapid,Rapid,"Burroburro r., r.b. Siparuni r., l.b. Essequibo r., 48 km or 30 mi. up.",822211,51SW,"4° 30' 10"" N","58° 48' 7"" W",497955,300059,19,4.502800000000002,-58.802
Mowasi Landing,Landing,"L.b. Essequibo r., 24 km or 15 mi. above Potaro r.",821222,44SW,"5° 11' 42"" N","58° 53' 25"" W",574537,290476,20,5.194999999999995,-58.8903
Mowasi Mountain,Mountain,"Watershed bet. the Konawaruk and Essequibo rivers, at the source of the Mowasi r.",821222,44SW,"5° 5' 25"" N","58° 57' 51"" W",562987,282225,21,5.090399999999993,-58.964400000000005
Mowasi River,River,"L.b. Essequibo r., 8 km or 5 mi. above Potaro r.",821222,44NW,"5° 18' 4"" N","58° 54' 15"" W",586299,288949,22,5.301400000000003,-58.9044
