archive,layer,feature_count,fields,metadata_date,projection,candidate_geo_order,candidate_gecom_name,name_similarity,expected_2023_constituencies,count_matches_2023
Aberdeen_Zorg_en_Vlygt_Constituencies,Aberdeen_Zorg_en_Vlygt_Constituencies,9,id|NDC|REGION|REG_NAME|STATUS|Name|RDC|Type|Shape_Leng|Shape_Area,20250111,"PROJCS[""WGS_1984_Web_Mercator_Auxiliary_Sphere"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,2",2.06,ABERDEEN/ZORG-EN-VLYGT,0.762,9,True
Anna_Regina,anna_regina,8,id|Constit_|NDC|REGION|STATUS,,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532",2.05,MUNICIPALITY OF ANNA REGINA,1.0,8,True
Annandale_Riverstown_Constituencies,Annandale_Riverstown,9,id|NDC|REGION|REG_NAME|STATUS|Shape_Leng|Shape_Area|Name|RDC|Type,20250109,"PROJCS[""WGS_1984_Web_Mercator_Auxiliary_Sphere"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,2",2.07,ANNANDALE/RIVERSTOWN,1.0,9,True
Bath_Woodley_Park,Bath_Woodley_Park,9,ID|Constituen|NDC,,"PROJCS[""WGS_1984_Web_Mercator_Auxiliary_Sphere"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,2",5.07,BATH/WOODLEY PARK,1.0,9,True
Beth Klein Constituency,Beth Klein Constituency,10,id|NDC|REGION|REG_NAME|STATUS|Name|RDC|Type|Shape_Leng|NDC_ID|Tot_Males|Tot_Female|Total|OBJECTID_1|Pop_2012|Constituen|Constit|Feature_ID|Constiuenc|Consit_id|NCD|Males_2012|Fem_2012|Tot_2012,,"GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Deg",3.13,THE BEST/ KLIEN POUDEROYEN,0.514,10,True
Canals_Polder,Canals_Polder_Constituency,9,OBJECTID_1|name|NDC|RDC|Pop_2012|Constituen,20251127,"GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Deg",3.08,CANALS POLDER,1.0,9,True
Charity_Urusara_Constituencies,Charity_Urusara_Constituencies,9,id|NDC|REGION|REG_NAME|STATUS|Name|RDC|Type|Shape_Leng|Shape_Area,20250111,"PROJCS[""WGS_1984_Web_Mercator_Auxiliary_Sphere"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,2",2.03,CHARITY/URASARA,1.0,9,True
Corriverton,Corriverton,7,id|Constit,,"PROJCS[""WGS_1984_Web_Mercator_Auxiliary_Sphere"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,2",6.22,MUNICIPALITY OF CORRIVERTON,1.0,8,False
Evergreen_Paradise_Constituencies,Evergreen_Paradise,9,id|NDC|REGION|REG_NAME|STATUS|Name|RDC|Type,20250111,"PROJCS[""WGS_1984_Web_Mercator_Auxiliary_Sphere"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,2",2.04,EVERGREEN/PARADISE,1.0,9,True
Farm_Woodlands_Constituencies,Farm_Woodlands_Constituencies,8,Name,,"PROJCS[""WGS_1984_Web_Mercator_Auxiliary_Sphere"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,2",5.01,WOODLANDS/FARM,1.0,9,False
Georgetown,Georgetown,65,OBJECTID_1|name|RDC|Pop_2012,,"GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree""",4.09,MUNICIPALITY OF GEORGETOWN,1.0,15,False
Georgetown Constituencies,Georgetown_Constituencies,15,ID|NAME|Constituen,,"PROJCS[""WGS_1984_Web_Mercator_Auxiliary_Sphere"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,2",4.09,MUNICIPALITY OF GEORGETOWN,1.0,15,True
GoodHope_Pomona_Constituencies,GoodHope_Pomona_Constituencies,9,Feature_ID|Name|Constituen|NDC|RDC|Region|Type|FIRST_STAT,,"GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Deg",2.08,GOOD HOPE/POMONA,0.968,9,True
Hague_Blankenburg_Consituencies,Hague_NDC_final_interpretation,9,piece_id|merge_grou|final_name|const_no|name|status|topology_n|review_not|source_nam|area_ha,,"GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Deg",3.11,HAGUE/BLANKENBURG,1.0,9,True
Haslington_Grove_Consituencies,Haslington_Grove_merged_validated,9,OBJECTID|RDC|NAME|PDF_NAME|SCORE|DECISION|M2012|F2012|POP2012|NDC_ID|draft_stat|review_not,,"GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Deg",4.16,HASLINGTON/GROVE,1.0,9,True
LaJalousie_NouvelleFlanders_Constituencies,LaJalousie_NouvelleFlanders_cleaned,9,const_no|final_name|division|status|review_not|area_ha|OBJECTID|RDC|NAME|PDF_NAME|SCORE|DECISION|M2012|F2012|POP2012|NDC_ID,,"GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Deg",3.12,LA JALOUSIE/NOUVELLE FLANDERS,0.679,9,True
